"Series";"Time";"Value"
"Pasillo Informática";"2016-07-06T02:00:00+02:00";null
"Pasillo Informática";"2016-07-07T02:00:00+02:00";null
"Pasillo Informática";"2016-07-08T02:00:00+02:00";null
"Pasillo Informática";"2016-07-09T02:00:00+02:00";null
"Pasillo Informática";"2016-07-10T02:00:00+02:00";null
"Pasillo Informática";"2016-07-11T02:00:00+02:00";null
"Pasillo Informática";"2016-07-12T02:00:00+02:00";null
"Pasillo Informática";"2016-07-13T02:00:00+02:00";null
"Pasillo Informática";"2016-07-14T02:00:00+02:00";null
"Pasillo Informática";"2016-07-15T02:00:00+02:00";null
"Pasillo Informática";"2016-07-16T02:00:00+02:00";null
"Pasillo Informática";"2016-07-17T02:00:00+02:00";null
"Pasillo Informática";"2016-07-18T02:00:00+02:00";null
"Pasillo Informática";"2016-07-19T02:00:00+02:00";null
"Pasillo Informática";"2016-07-20T02:00:00+02:00";null
"Pasillo Informática";"2016-07-21T02:00:00+02:00";null
"Pasillo Informática";"2016-07-22T02:00:00+02:00";null
"Pasillo Informática";"2016-07-23T02:00:00+02:00";null
"Pasillo Informática";"2016-07-24T02:00:00+02:00";null
"Pasillo Informática";"2016-07-25T02:00:00+02:00";null
"Pasillo Informática";"2016-07-26T02:00:00+02:00";null
"Pasillo Informática";"2016-07-27T02:00:00+02:00";null
"Pasillo Informática";"2016-07-28T02:00:00+02:00";null
"Pasillo Informática";"2016-07-29T02:00:00+02:00";null
"Pasillo Informática";"2016-07-30T02:00:00+02:00";null
"Pasillo Informática";"2016-07-31T02:00:00+02:00";null
"Pasillo Informática";"2016-08-01T02:00:00+02:00";null
"Pasillo Informática";"2016-08-02T02:00:00+02:00";null
"Pasillo Informática";"2016-08-03T02:00:00+02:00";null
"Pasillo Informática";"2016-08-04T02:00:00+02:00";null
"Pasillo Informática";"2016-08-05T02:00:00+02:00";null
"Pasillo Informática";"2016-08-06T02:00:00+02:00";null
"Pasillo Informática";"2016-08-07T02:00:00+02:00";null
"Pasillo Informática";"2016-08-08T02:00:00+02:00";null
"Pasillo Informática";"2016-08-09T02:00:00+02:00";null
"Pasillo Informática";"2016-08-10T02:00:00+02:00";null
"Pasillo Informática";"2016-08-11T02:00:00+02:00";null
"Pasillo Informática";"2016-08-12T02:00:00+02:00";null
"Pasillo Informática";"2016-08-13T02:00:00+02:00";null
"Pasillo Informática";"2016-08-14T02:00:00+02:00";19.197619047619046
"Pasillo Informática";"2016-08-15T02:00:00+02:00";19.784210526315793
"Pasillo Informática";"2016-08-16T02:00:00+02:00";21.69375000000001
"Pasillo Informática";"2016-08-17T02:00:00+02:00";25.718750000000004
"Pasillo Informática";"2016-08-18T02:00:00+02:00";25.540517241379316
"Pasillo Informática";"2016-08-19T02:00:00+02:00";25.78615384615384
"Pasillo Informática";"2016-08-20T02:00:00+02:00";28.763934426229504
"Pasillo Informática";"2016-08-21T02:00:00+02:00";19.181147540983602
"Pasillo Informática";"2016-08-22T02:00:00+02:00";21.188356164383574
"Pasillo Informática";"2016-08-23T02:00:00+02:00";23.94789915966387
"Pasillo Informática";"2016-08-24T02:00:00+02:00";23.33475177304964
"Pasillo Informática";"2016-08-25T02:00:00+02:00";22.288356164383575
"Pasillo Informática";"2016-08-26T02:00:00+02:00";24.747826086956533
"Pasillo Informática";"2016-08-27T02:00:00+02:00";23.88214285714286
"Pasillo Informática";"2016-08-28T02:00:00+02:00";21.69897959183674
"Pasillo Informática";"2016-08-29T02:00:00+02:00";17.637593984962393
"Pasillo Informática";"2016-08-30T02:00:00+02:00";18.339682539682542
"Pasillo Informática";"2016-08-31T02:00:00+02:00";21.41119402985074
"Pasillo Informática";"2016-09-01T02:00:00+02:00";20.49347826086958
"Pasillo Informática";"2016-09-02T02:00:00+02:00";19.18148148148148
"Pasillo Informática";"2016-09-03T02:00:00+02:00";19.607692307692307
"Pasillo Informática";"2016-09-04T02:00:00+02:00";19.225000000000005
"Pasillo Informática";"2016-09-05T02:00:00+02:00";18.72558139534884
"Pasillo Informática";"2016-09-06T02:00:00+02:00";16.48867924528302
"Pasillo Informática";"2016-09-07T02:00:00+02:00";16.92083333333333
"Pasillo Informática";"2016-09-08T02:00:00+02:00";19.812328767123276
"Pasillo Informática";"2016-09-09T02:00:00+02:00";21.25616438356165
"Pasillo Informática";"2016-09-10T02:00:00+02:00";20.1891472868217
"Pasillo Informática";"2016-09-11T02:00:00+02:00";22.47142857142858
"Pasillo Informática";"2016-09-12T02:00:00+02:00";24.33076923076923
"Pasillo Informática";"2016-09-13T02:00:00+02:00";33.61707317073171
"Pasillo Informática";"2016-09-14T02:00:00+02:00";23.555855855855857
"Pasillo Informática";"2016-09-15T02:00:00+02:00";31.75833333333334
"Pasillo Informática";"2016-09-16T02:00:00+02:00";31.626119402985065
"Pasillo Informática";"2016-09-17T02:00:00+02:00";28.35496183206106
"Pasillo Informática";"2016-09-18T02:00:00+02:00";24.93589743589744
"Pasillo Informática";"2016-09-19T02:00:00+02:00";23.64999999999999
"Pasillo Informática";"2016-09-20T02:00:00+02:00";20.912295081967216
"Pasillo Informática";"2016-09-21T02:00:00+02:00";24.317543859649106
"Pasillo Informática";"2016-09-22T02:00:00+02:00";26.59541984732826
"Pasillo Informática";"2016-09-23T02:00:00+02:00";29.119512195121963
"Pasillo Informática";"2016-09-24T02:00:00+02:00";23.647457627118644
"Pasillo Informática";"2016-09-25T02:00:00+02:00";33.004411764705885
"Pasillo Informática";"2016-09-26T02:00:00+02:00";27.148780487804874
"Pasillo Informática";"2016-09-27T02:00:00+02:00";22.6
"Pasillo Informática";"2016-09-28T02:00:00+02:00";27.252777777777787
"Pasillo Informática";"2016-09-29T02:00:00+02:00";26.67272727272727
"Pasillo Informática";"2016-09-30T02:00:00+02:00";26.716216216216225
"Pasillo Informática";"2016-10-01T02:00:00+02:00";26.769911504424776
"Pasillo Informática";"2016-10-02T02:00:00+02:00";20.22605042016806
"Pasillo Informática";"2016-10-03T02:00:00+02:00";21.876428571428562
"Pasillo Informática";"2016-10-04T02:00:00+02:00";23.406249999999996
"Pasillo Informática";"2016-10-05T02:00:00+02:00";21.814
"Pasillo Informática";"2016-10-06T02:00:00+02:00";18.572580645161285
"Pasillo Informática";"2016-10-07T02:00:00+02:00";19.565168539325846
"Pasillo Informática";"2016-10-08T02:00:00+02:00";16.35625
"Pasillo Informática";"2016-10-09T02:00:00+02:00";27.9657894736842
"Pasillo Informática";"2016-10-10T02:00:00+02:00";30.731914893617034
"Pasillo Informática";"2016-10-11T02:00:00+02:00";34.41145038167939
"Pasillo Informática";"2016-10-12T02:00:00+02:00";43.295270270270294
"Pasillo Informática";"2016-10-13T02:00:00+02:00";43.70518518518518
"Pasillo Informática";"2016-10-14T02:00:00+02:00";42.27169811320754
"Pasillo Informática";"2016-10-15T02:00:00+02:00";36.18211382113821
"Pasillo Informática";"2016-10-16T02:00:00+02:00";38.17968750000001
"Pasillo Informática";"2016-10-17T02:00:00+02:00";47.94685314685314
"Pasillo Informática";"2016-10-18T02:00:00+02:00";51.181889763779544
"Pasillo Informática";"2016-10-19T02:00:00+02:00";52.51304347826091
"Pasillo Informática";"2016-10-20T02:00:00+02:00";49.380714285714284
"Pasillo Informática";"2016-10-21T02:00:00+02:00";49.052127659574474
"Pasillo Informática";"2016-10-22T02:00:00+02:00";52.247260273972564
"Pasillo Informática";"2016-10-23T02:00:00+02:00";51.36600000000001
"Pasillo Informática";"2016-10-24T02:00:00+02:00";50.84626865671642
"Pasillo Informática";"2016-10-25T02:00:00+02:00";54.42773722627742
"Pasillo Informática";"2016-10-26T02:00:00+02:00";55.09999999999999
